Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,,Marshall,W,83,82,110.7,109.3,74.8,.176,.382,.563,57.1,53.1,9.3,2.1,,.551,17.8,42.4,.118,,.506,9.1,68.2,.038

2022-11-10,,Clinton College,W,99,65,126.9,83.3,78.5,.324,.392,.580,60.5,45.9,16.7,4.4,,.561,10.5,42.1,.216,,.424,19.9,78.9,.254

2022-11-15,@,La Salle,L,60,72,83.3,100.0,71.9,.367,.408,.521,61.9,50.0,5.6,15.6,,.459,29.4,42.9,.306,,.463,9.7,77.1,.132

2022-11-18,N,Green Bay,W,81,65,114.1,91.5,71.1,.537,.370,.598,50.9,33.3,11.3,10.7,,.556,12.9,22.2,.389,,.533,23.9,80.8,.348

2022-11-20,N,Morgan State,W,74,64,104.2,90.1,70.7,.423,.462,.592,60.0,46.2,7.0,4.7,,.577,24.3,37.9,.269,,.466,14.1,77.8,.172

2022-11-23,,Lynchburg,W,107,72,135.4,91.1,78.6,.309,.456,.686,67.2,63.2,11.4,0.0,,.654,14.3,46.4,.265,,.463,12.8,82.1,.132

2022-11-26,@,George Mason,L,65,72,106.6,118.0,61.1,.304,.571,.507,45.2,50.0,4.9,0.0,,.473,12.3,31.3,.214,,.571,11.2,60.0,.143

2022-11-29,@,Bowling Green State,W,72,66,104.3,95.7,68.9,.389,.315,.563,52.0,42.3,10.1,8.0,,.546,22.0,41.9,.241,,.408,13.8,59.1,.113

2022-12-03,,Paine,W,89,60,121.9,82.2,73.2,.284,.507,.585,67.6,69.7,5.5,4.8,,.582,15.6,48.6,.164,,.430,14.0,86.1,.078

2022-12-09,@,High Point,W,87,79,111.5,101.3,78.4,.556,.317,.546,53.7,50.0,6.4,8.1,,.500,11.2,25.6,.381,,.484,10.4,79.1,.286

2022-12-14,@,ETSU,W,78,75,114.7,110.3,67.9,.328,.563,.527,56.1,58.3,10.3,5.9,,.477,9.8,35.1,.266,,.586,12.5,82.8,.121

2022-12-20,@,Nebraska,L,65,75,89.0,102.7,73.1,.338,.446,.431,45.9,54.5,12.3,5.6,,.392,9.6,21.7,.215,,.576,16.9,85.7,.119

2022-12-22,@,Fairleigh Dickinson,W,82,73,115.5,102.8,71.2,.268,.571,.650,44.3,58.6,7.0,17.1,,.625,16.0,10.7,.214,,.515,12.6,72.7,.076

2022-12-29,,Austin Peay,W,81,77,114.1,108.5,71.1,.706,.373,.595,53.3,56.0,5.6,4.5,,.559,16.0,32.1,.471,,.516,12.6,71.9,.210

2022-12-31,@,Eastern Kentucky,L,83,88,106.4,112.8,77.6,.181,.403,.531,44.6,62.1,7.7,0.0,,.486,13.3,27.8,.181,,.543,13.3,60.5,.171

2023-01-05,@,Bellarmine,W,75,74,115.4,113.8,65.2,.254,.525,.567,57.8,50.0,12.3,2.4,,.576,17.5,40.5,.119,,.595,12.8,81.5,.086

