Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,,VMI,W,69,48,104.5,72.7,66.2,.569,.549,.533,53.8,56.5,7.6,16.1,,.520,13.4,29.0,.314,,.305,13.5,69.4,.141

2022-11-11,,Northern Iowa,W,68,55,103.0,83.3,66.1,.283,.509,.565,51.4,41.7,6.1,10.3,,.528,15.5,20.0,.226,,.352,10.4,75.0,.197

2022-11-14,@,College of Charleston,L (1 OT),90,92,107.1,109.5,74.8,.429,.413,.593,46.5,46.4,8.3,8.1,,.532,16.5,18.8,.365,,.514,12.6,69.2,.250

2022-11-17,,Wichita State,L,53,56,88.3,93.3,60.4,.132,.547,.470,44.4,65.0,10.0,3.2,,.453,17.6,21.2,.094,,.458,17.5,70.0,.250

2022-11-21,N,Syracuse,L (1 OT),71,74,107.6,112.1,58.9,.136,.470,.505,65.6,59.3,7.6,0.0,,.508,16.6,58.1,.061,,.532,8.1,73.3,.111

2022-11-22,N,Temple,W,61,49,101.7,81.7,60.0,.226,.358,.520,50.8,56.5,13.3,13.6,,.500,13.3,27.3,.151,,.469,23.4,76.7,.061

2022-11-30,@,Toledo,L,67,90,90.5,121.6,73.7,.345,.466,.496,40.6,61.9,9.5,7.3,,.457,16.1,17.9,.241,,.563,10.9,70.0,.302

2022-12-03,@,William & Mary,L,57,58,96.6,98.3,58.6,.135,.462,.515,49.0,66.7,8.5,23.3,,.490,14.0,21.4,.115,,.539,15.9,82.6,.059

2022-12-10,,Drake,W,82,52,109.3,69.3,74.5,.400,.327,.626,60.3,30.0,9.3,5.7,,.591,16.6,11.5,.309,,.348,16.8,90.5,.232

2022-12-13,,Fairleigh Dickinson,W,77,48,114.9,71.6,66.6,.127,.564,.660,59.1,65.5,7.5,11.8,,.645,19.4,20.0,.109,,.369,13.7,82.9,.049

2022-12-17,N,Clemson,L,57,85,80.3,119.7,71.2,.294,.431,.490,41.9,42.9,7.0,5.0,,.480,20.5,3.7,.157,,.576,10.0,71.4,.136

2022-12-21,,Bucknell,W,81,71,124.6,109.2,64.9,.150,.433,.630,42.9,56.7,9.2,3.6,,.617,8.5,17.2,.117,,.598,17.9,70.4,.196

2022-12-28,,Coppin State,W,83,65,120.3,94.2,68.8,.444,.519,.635,54.1,70.4,11.6,6.3,,.602,10.9,17.2,.333,,.519,17.8,87.5,.167

2022-12-31,@,George Mason,L,58,62,89.2,95.4,64.7,.291,.382,.463,47.5,36.4,9.2,0.0,,.455,12.6,17.6,.145,,.522,14.7,85.2,.333

2023-01-04,,George Washington,W,73,63,110.6,95.5,65.6,.563,.313,.600,53.1,43.5,9.1,0.0,,.542,15.3,18.5,.438,,.451,9.7,78.4,.131

2023-01-07,,Duquesne,W,75,73,115.4,112.3,64.8,.526,.439,.526,51.4,58.3,3.1,3.2,,.482,7.8,35.1,.351,,.524,12.0,69.7,.129

