Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-08,@,Providence,L,65,66,97.0,98.5,67.1,.172,.241,.518,47.1,58.3,7.5,6.5,,.491,17.2,23.3,.138,,.400,10.2,65.8,.520

2022-11-12,,TCNJ,W,87,50,127.9,73.5,67.7,.169,.239,.567,61.5,36.1,17.6,20.8,,.549,5.0,37.5,.127,,.431,22.3,84.8,.118

2022-11-18,N,Stetson,L,68,78,97.1,111.4,70.1,.239,.313,.456,50.0,52.0,5.7,11.4,,.418,7.4,32.4,.179,,.516,8.7,68.8,.188

2022-11-19,N,Central Arkansas,L,85,90,106.3,112.5,79.5,.417,.300,.591,56.0,41.4,7.5,3.6,,.525,20.9,36.0,.367,,.632,18.0,76.0,.434

2022-11-22,@,Rutgers,L,46,76,66.7,110.1,68.9,.333,.300,.331,46.8,33.3,10.1,2.3,,.267,16.8,34.9,.233,,.491,10.9,61.8,.328

2022-11-30,,Monmouth,W,88,62,122.2,86.1,71.8,.519,.346,.679,47.5,50.0,6.9,17.5,,.654,14.5,13.0,.385,,.404,14.5,68.4,.281

2022-12-03,@,Mount St. Mary's,W,68,65,103.0,98.5,65.8,.397,.259,.493,46.6,31.8,12.1,3.0,,.431,12.7,34.4,.310,,.539,23.1,61.5,.196

2022-12-07,@,Stonehill,W,78,67,114.7,98.5,68.4,.274,.290,.557,62.1,55.2,2.9,9.5,,.516,13.6,36.4,.226,,.546,15.4,87.9,.148

2022-12-19,,Delaware,L,59,60,100.0,101.7,58.8,.083,.333,.473,56.7,60.0,8.5,6.7,,.475,11.4,36.4,.033,,.491,11.9,76.5,.130

2022-12-22,,Marist,W,77,71,116.7,107.6,66.4,.288,.237,.574,46.3,31.0,7.6,6.5,,.542,10.7,25.8,.220,,.516,14.0,63.9,.113

2022-12-28,@,Georgia,L,72,78,101.4,109.9,70.6,.174,.246,.482,54.4,56.7,4.2,6.1,,.464,10.8,34.3,.116,,.560,11.6,75.8,.224

2022-12-31,@,Canisius,W,66,64,98.5,95.5,66.7,.310,.259,.496,57.1,36.0,3.0,7.4,,.448,18.4,39.4,.241,,.492,9.4,73.0,.016

2023-01-02,@,Niagara,L,59,61,96.7,100.0,61.0,.490,.163,.488,51.9,35.0,6.6,4.0,,.418,14.2,28.0,.367,,.500,13.5,72.4,.245

2023-01-06,,Quinnipiac,L,63,72,95.5,109.1,65.5,.232,.214,.507,41.8,40.0,9.1,11.5,,.482,12.6,12.5,.161,,.491,10.7,68.6,.327

2023-01-08,@,Siena,L,63,68,92.6,100.0,67.7,.288,.186,.470,55.2,24.0,7.4,9.4,,.449,19.3,42.9,.169,,.453,15.5,68.8,.377

2023-01-15,@,Iona,W,70,67,106.1,101.5,66.0,.241,.241,.541,47.7,63.0,9.1,8.1,,.517,16.7,37.9,.172,,.440,12.3,55.6,.276

2023-01-20,,Niagara,W,65,62,110.2,105.1,59.1,.511,.255,.557,57.1,68.2,10.2,0.0,,.500,12.0,26.9,.383,,.602,19.8,91.3,.205

2023-01-22,,Manhattan,W,67,65,104.7,101.6,63.8,.533,.222,.594,59.6,36.4,9.4,3.7,,.511,19.9,34.8,.467,,.538,16.9,79.3,.173

2023-01-27,@,Marist,W,68,52,111.5,85.2,61.1,.148,.222,.588,56.7,34.5,4.9,3.6,,.583,16.0,24.0,.093,,.385,7.2,76.2,.082

2023-01-29,@,Fairfield,W (1 OT),78,69,118.2,104.5,58.4,.219,.266,.552,56.3,36.7,7.6,6.3,,.508,13.5,45.2,.203,,.464,8.0,66.7,.304





2023-02-03,,St. Peter's,W,82,61,120.6,89.7,67.6,.583,.250,.669,62.2,46.2,4.4,0.0,,.625,17.5,33.3,.458,,.418,14.1,87.5,.408

2023-02-05,@,Manhattan,W,67,56,104.7,87.5,64.0,.150,.233,.521,63.2,50.0,9.4,6.9,,.500,15.7,38.7,.117,,.446,11.5,83.8,.107

2023-02-10,,Fairfield,W,58,57,93.5,91.9,62.0,.151,.302,.511,58.8,32.0,11.3,8.8,,.509,20.9,37.0,.075,,.510,19.6,83.3,.167

2023-02-17,,Canisius,L,78,81,121.9,126.6,63.7,.278,.315,.638,52.9,33.3,6.3,0.0,,.611,10.3,18.2,.222,,.653,11.5,79.3,.347

2023-02-19,@,Quinnipiac,L (2 OT),88,90,103.5,105.9,68.2,.213,.275,.500,57.7,51.4,5.9,5.6,,.481,12.0,32.6,.138,,.526,12.4,88.6,.500

2023-02-24,,Siena,W,69,66,104.5,100.0,66.0,.321,.214,.534,49.3,38.5,15.2,8.8,,.500,14.6,30.3,.232,,.491,15.5,67.6,.241

2023-02-26,,Mount St. Mary's,L,58,63,90.6,98.4,63.7,.295,.262,.417,42.9,39.1,12.5,0.0,,.410,5.4,23.1,.131,,.480,15.1,67.7,.300

2023-03-02,@,St. Peter's,W,73,60,115.9,95.2,62.7,.471,.275,.585,54.9,37.5,9.5,15.4,,.549,13.8,34.6,.333,,.580,22.1,76.0,.205

2023-03-04,,Iona,L,78,80,121.9,125.0,63.9,.180,.213,.589,47.3,24.2,7.8,11.9,,.582,5.7,33.3,.115,,.531,8.9,58.1,.169

2023-03-08,N,St. Peter's,L,62,70,98.4,111.1,62.6,.250,.214,.495,48.9,58.3,3.2,8.8,,.464,17.2,40.7,.179,,.563,16.1,60.0,.333

