Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-11,N,Houston,L,55,81,78.6,115.7,70.2,.500,.444,.412,46.8,18.8,8.6,2.6,,.343,19.3,29.3,.333,,.546,11.0,66.7,.154

2022-11-14,,Lafayette,W,63,59,96.9,90.8,65.0,.200,.660,.575,58.3,71.4,10.8,5.6,,.560,25.8,26.1,.140,,.561,19.9,88.0,.082

2022-11-17,,Albany (NY),W,99,79,128.6,102.6,77.1,.782,.473,.656,53.0,51.6,13.0,3.0,,.673,13.7,30.0,.455,,.492,14.0,72.2,.333

2022-11-21,N,Georgia,L,53,66,74.6,93.0,71.0,.281,.281,.410,43.5,38.1,11.3,6.5,,.386,17.8,22.2,.158,,.411,18.2,66.7,.357

2022-11-22,N,South Florida,L,62,75,92.5,111.9,66.6,.608,.471,.472,47.8,37.5,4.5,12.1,,.363,16.5,33.3,.490,,.500,11.6,64.5,.293

2022-11-30,@,Penn,W (1 OT),85,80,106.3,100.0,71.2,.385,.446,.553,45.9,55.2,11.3,10.8,,.531,11.5,22.9,.246,,.492,18.0,66.7,.266

2022-12-03,,Fairleigh Dickinson,L,80,97,106.7,129.3,74.7,.400,.527,.611,46.9,64.0,6.7,8.6,,.564,20.6,27.6,.327,,.678,13.8,75.0,.288

2022-12-06,@,Temple,L,60,70,87.0,101.4,68.8,.264,.434,.503,49.2,47.6,5.8,0.0,,.462,20.1,23.3,.208,,.508,12.5,71.4,.131

2022-12-10,,St. Peter's,W,73,57,109.0,85.1,67.3,.881,.452,.613,42.1,45.0,7.5,27.3,,.548,19.0,20.8,.643,,.360,16.3,57.6,.281

2022-12-17,,Villanova,L,64,71,97.0,107.6,66.5,.177,.468,.476,35.8,54.2,4.5,15.0,,.460,9.4,10.8,.113,,.534,13.7,66.7,.155

2022-12-19,,Sacred Heart,W,77,59,101.3,77.6,76.4,.227,.485,.526,59.7,60.7,15.8,13.8,,.508,18.9,38.9,.152,,.432,20.3,80.6,.136

2022-12-22,,Central Connecticut,W,83,66,120.3,95.7,68.6,.123,.477,.603,53.2,56.3,13.0,2.9,,.585,11.6,33.3,.108,,.533,20.4,71.9,.033

2022-12-31,,Saint Louis,L,78,83,100.0,106.4,77.5,.258,.394,.526,44.3,56.7,7.7,10.0,,.523,13.9,23.7,.136,,.576,16.9,78.3,.254

2023-01-04,@,Dayton,L,56,76,88.9,120.6,62.7,.203,.375,.399,41.4,35.0,7.9,0.0,,.352,9.1,30.8,.172,,.673,16.4,63.2,.204

2023-01-07,@,Fordham,L,54,66,79.4,97.1,68.4,.268,.393,.428,42.7,60.0,5.9,16.2,,.411,12.5,12.8,.143,,.411,11.5,75.0,.242

2023-01-11,,Duquesne,L,80,92,105.3,121.1,76.0,.209,.493,.543,53.2,63.3,11.8,6.7,,.537,18.8,37.1,.119,,.691,18.4,74.1,.291

