Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,,Murray State,W,91,68,123.0,91.9,74.0,.216,.419,.558,59.7,65.7,6.8,2.5,,.541,8.9,40.5,.149,,.427,12.1,77.5,.242

2022-11-12,,Evansville,W,83,65,115.3,90.3,72.2,.164,.361,.631,61.8,67.7,1.4,11.1,,.598,14.3,24.0,.164,,.379,7.4,83.7,.227

2022-11-15,,Memphis,W,90,84,113.9,106.3,79.2,.600,.333,.584,50.0,53.6,5.1,10.3,,.525,12.5,26.7,.450,,.464,10.8,66.7,.271

2022-11-19,N,Maryland,L,67,95,94.4,133.8,71.4,.414,.345,.483,45.6,38.1,4.2,6.5,,.405,16.8,31.4,.345,,.611,8.4,60.6,.286

2022-11-20,N,Providence,W,76,73,110.1,105.8,69.3,.279,.262,.550,47.1,37.9,10.1,9.1,,.500,11.5,29.0,.246,,.414,12.0,62.2,.313

2022-11-23,,Paul Quinn,W,96,53,133.3,73.6,72.4,.339,.407,.701,69.1,70.6,8.3,12.8,,.669,16.0,42.3,.288,,.351,11.2,85.7,.090

2022-11-27,@,Auburn,L,60,65,80.0,86.7,75.1,.215,.323,.419,47.2,52.0,6.7,4.7,,.431,14.3,18.4,.062,,.432,13.7,79.4,.237

2022-11-30,,Tennessee State,W,80,63,115.9,91.3,68.7,.141,.282,.528,59.2,81.3,11.6,16.1,,.500,9.6,40.0,.127,,.424,11.9,77.8,.220

2022-12-03,,Southern Illinois,W,85,72,123.2,104.3,68.8,.298,.246,.653,65.2,51.5,4.3,20.8,,.623,17.7,39.1,.246,,.598,20.1,91.3,.370

2022-12-06,@,Iona,L,62,84,84.9,115.1,72.8,.309,.279,.398,53.0,47.6,6.8,9.1,,.346,15.2,45.7,.221,,.500,11.3,62.2,.151

2022-12-10,,Boise State,L,52,57,75.4,82.6,68.8,.276,.310,.396,52.6,50.0,8.7,11.1,,.345,17.6,30.8,.207,,.364,15.0,74.4,.237

2022-12-17,,Drake,W,83,75,118.6,107.1,69.7,.365,.429,.561,59.7,55.6,2.9,10.5,,.492,8.6,32.4,.333,,.508,6.6,84.2,.194

2022-12-21,,SIU-Edwardsville,L,67,69,100.0,103.0,66.7,.350,.417,.479,44.6,75.0,4.5,10.3,,.458,11.4,27.0,.200,,.440,11.5,62.2,.310

2022-12-31,@,St. Joseph's,W,83,78,106.4,100.0,77.5,.356,.322,.602,55.7,83.9,6.4,10.0,,.576,16.9,21.7,.254,,.523,13.9,76.3,.136

2023-01-04,@,UMass,L,81,90,103.8,115.4,77.9,.350,.417,.579,50.7,58.1,5.1,6.8,,.583,16.7,20.0,.183,,.538,10.4,75.7,.308

2023-01-07,,St. Bonaventure,W,78,55,121.9,85.9,64.1,.490,.490,.646,60.4,79.2,7.8,2.4,,.592,16.6,36.0,.408,,.454,15.8,82.1,.111

