Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,@,Oklahoma,W,52,51,74.3,72.9,69.9,.141,.359,.381,50.7,42.9,12.9,4.2,,.375,14.9,24.4,.063,,.430,27.6,89.3,.326

2022-11-10,,Southwestern Adventist,W,120,33,162.2,44.6,74.1,.113,.313,.712,77.6,64.2,20.3,19.2,,.725,7.7,72.0,.050,,.292,37.1,81.8,.104

2022-11-14,,LeTourneau,W,84,48,105.0,60.0,80.3,.220,.317,.464,70.5,54.3,10.0,15.4,,.451,13.4,53.2,.122,,.285,17.2,87.5,.169

2022-11-17,@,Utah,W,65,55,98.5,83.3,65.6,.226,.306,.473,59.7,45.8,15.2,8.7,,.427,11.6,35.1,.194,,.511,23.0,90.0,.174

2022-11-22,N,Northern Illinois,W,88,54,117.3,72.0,74.7,.206,.349,.636,60.0,36.4,17.3,12.1,,.619,18.8,39.1,.159,,.434,27.1,75.0,.151

2022-11-23,N,South Dakota,W,80,49,121.2,74.2,66.1,.105,.333,.668,62.3,53.1,16.7,3.8,,.658,17.8,33.3,.088,,.418,25.3,86.2,.163

2022-11-28,@,Nevada,L,60,78,87.0,113.0,68.8,.491,.321,.459,50.0,38.9,5.8,4.2,,.387,15.5,25.0,.358,,.531,13.3,76.7,.531

2022-12-03,,Dallas Christian,W,111,58,138.8,72.5,80.0,.145,.446,.626,74.6,68.2,22.5,10.7,,.614,13.6,63.6,.108,,.520,34.5,88.5,.143

2022-12-06,@,Oklahoma State,L,51,65,85.0,108.3,60.4,.347,.429,.447,41.2,47.1,20.0,8.0,,.408,12.3,25.9,.224,,.561,23.4,58.3,.204

2022-12-14,@,Louisiana-Monroe,W,79,53,116.2,77.9,67.6,.200,.400,.601,70.2,50.0,10.3,3.4,,.600,20.6,51.7,.117,,.453,24.1,89.3,.326

2022-12-17,@,Texas State,W,69,62,107.8,96.9,64.1,.396,.415,.548,45.0,37.5,15.6,3.8,,.528,12.5,25.8,.245,,.402,20.2,65.5,.543

2022-12-20,,Arlington Baptist,W,107,26,144.6,35.1,74.1,.070,.493,.729,72.3,55.8,17.6,3.4,,.739,18.8,55.6,.028,,.196,30.5,84.2,.118

2022-12-22,@,Missouri State,,,,,,,,,,,,,,,,,,,,,,,

2022-12-29,@,Utah Valley,L,64,80,88.9,111.1,72.1,.254,.343,.426,45.9,45.5,11.1,3.7,,.381,13.8,31.0,.194,,.602,18.5,65.6,.153

2022-12-31,@,New Mexico State,W,75,62,121.0,100.0,62.1,.240,.540,.673,52.9,42.3,9.7,0.0,,.650,17.7,25.0,.200,,.554,20.4,77.8,.239

2023-01-05,,Grand Canyon,L (1 OT),68,72,89.5,94.7,67.7,.585,.302,.502,44.3,42.9,15.8,6.7,,.462,20.1,26.5,.358,,.510,25.9,66.7,.392

2023-01-07,,Tarleton State,W,75,68,104.2,94.4,71.7,.638,.532,.612,43.5,68.2,8.3,6.3,,.585,17.5,15.6,.426,,.460,15.8,73.3,.159

