Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,@,UC-San Diego,W,85,71,126.9,106.0,67.3,.277,.523,.578,58.9,80.0,9.0,12.1,,.569,8.7,40.0,.169,,.519,11.3,80.8,.302

2022-11-09,,Puget Sound,W,106,55,121.8,63.2,86.6,.329,.479,.628,64.0,43.2,13.8,6.1,,.596,14.2,36.1,.260,,.408,28.4,89.7,.100

2022-11-13,,Portland State,W,83,71,107.8,92.2,76.7,.717,.453,.584,57.7,39.1,5.2,4.7,,.538,17.4,35.5,.491,,.373,9.1,75.0,.313

2022-11-19,@,Portland,W,80,68,108.1,91.9,73.6,.161,.419,.599,55.7,36.4,6.8,0.0,,.613,18.3,24.1,.065,,.464,15.5,84.4,.286

2022-11-23,,Pacific Lutheran,W,89,53,118.7,70.7,74.9,.350,.367,.636,57.4,64.5,17.3,5.4,,.608,14.6,23.3,.267,,.453,25.7,90.3,.094

2022-11-28,@,Washington,L,66,77,89.2,104.1,74.1,.110,.548,.430,53.6,50.0,6.8,7.7,,.397,15.4,38.6,.110,,.529,18.9,80.0,.423

2022-11-30,,Cal State Fullerton,W,69,62,106.2,95.4,65.0,.404,.368,.508,54.4,37.5,9.2,15.2,,.474,11.7,36.4,.263,,.472,16.0,71.4,.226

2022-12-10,@,North Dakota,W (1 OT),80,78,103.9,101.3,68.5,.343,.443,.491,46.7,35.7,10.4,15.8,,.450,7.9,25.6,.243,,.583,21.2,75.0,.278

2022-12-15,@,Oregon State,L,58,73,84.1,105.8,69.0,.357,.500,.443,46.4,47.4,5.8,10.0,,.420,18.6,28.6,.196,,.561,17.9,76.2,.367

2022-12-18,,Alcorn State,W,72,58,101.4,81.7,70.6,.340,.604,.585,50.8,75.0,4.2,13.2,,.575,20.6,30.8,.208,,.355,9.6,65.7,.130

2022-12-22,N,Utah State,L,56,84,75.7,113.5,73.6,.275,.420,.359,46.5,30.0,6.8,3.2,,.326,11.4,27.9,.159,,.602,14.1,75.0,.220

2022-12-23,N,Iona,L,72,83,90.0,103.8,79.6,.776,.414,.454,43.5,64.7,6.3,7.7,,.345,12.2,23.8,.552,,.517,16.3,74.1,.373

2022-12-25,N,George Washington,W,85,67,111.8,88.2,76.1,.197,.507,.547,67.2,67.7,3.9,0.0,,.507,13.4,40.0,.183,,.472,13.0,91.2,.321

2022-12-31,,California Baptist,W,71,65,102.9,94.2,69.7,.211,.404,.566,54.5,37.0,7.2,11.5,,.544,16.1,20.0,.158,,.482,15.8,83.3,.196

2023-01-05,@,Texas-Rio Grande Valley,W,66,64,86.8,84.2,76.4,.189,.473,.409,47.1,57.7,6.6,15.6,,.399,6.9,23.4,.095,,.398,17.2,75.0,.203

2023-01-07,@,UT Arlington,W,76,61,126.7,101.7,59.9,.231,.385,.659,52.4,60.7,8.3,9.8,,.635,13.5,37.5,.192,,.393,10.4,61.5,.213

