Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-09,,Mobile,W,97,59,129.3,78.7,75.4,.130,.420,.662,56.8,42.5,12.0,18.8,,.652,8.7,17.2,.101,,.373,14.4,82.2,.190

2022-11-11,@,New Mexico,L,74,80,98.7,106.7,74.9,.098,.328,.579,49.1,51.6,2.7,10.6,,.566,19.0,18.5,.082,,.485,7.2,76.7,.242

2022-11-15,,Alabama,L,55,65,73.3,86.7,74.5,.254,.324,.346,38.3,19.0,9.3,15.2,,.310,10.2,27.7,.155,,.397,20.5,48.9,.162

2022-11-18,@,Oklahoma,L,60,64,93.8,100.0,64.2,.161,.321,.498,35.1,29.2,9.4,5.3,,.473,9.1,6.9,.125,,.464,14.8,64.3,.236

2022-11-25,N,Evansville,W,78,67,114.7,98.5,67.6,.300,.517,.569,52.5,63.0,7.4,5.1,,.533,8.0,21.9,.233,,.519,14.0,86.2,.226

2022-11-26,N,Towson,L,60,62,88.2,91.2,68.2,.172,.448,.478,44.4,60.9,5.9,2.3,,.457,14.9,15.6,.121,,.481,17.2,74.2,.185

2022-11-27,N,Robert Morris,W,84,70,127.3,106.1,65.7,.286,.232,.660,48.3,27.3,7.6,13.2,,.634,8.6,21.7,.232,,.485,8.8,64.9,.075

2022-11-30,@,Florida Atlantic,L,59,84,85.5,121.7,69.3,.105,.351,.493,33.9,36.0,17.4,5.0,,.491,19.0,9.4,.053,,.696,19.8,66.7,.107

2022-12-04,@,UAB,L,68,76,90.7,101.3,74.7,.322,.373,.500,41.1,28.0,5.3,6.4,,.492,15.0,11.1,.169,,.451,13.0,70.3,.344

2022-12-12,@,Alabama A&M,W,78,71,114.7,104.4,67.5,.155,.534,.626,59.3,60.0,5.9,12.5,,.638,15.0,24.0,.069,,.517,9.9,89.7,.169

2022-12-19,,Spring Hill,W,82,53,109.3,70.7,74.5,.203,.438,.584,57.6,42.4,17.3,7.1,,.594,16.6,27.3,.094,,.415,20.6,87.9,.068

2022-12-21,,Jacksonville State,W,71,66,114.5,106.5,61.8,.273,.364,.571,50.9,42.3,3.2,4.9,,.536,4.6,21.4,.218,,.500,11.3,79.3,.222

2022-12-29,@,Georgia Southern,L,50,64,74.6,95.5,66.8,.141,.344,.366,32.9,42.1,9.0,7.0,,.336,10.5,20.9,.109,,.484,19.7,50.0,.082

2022-12-31,@,Georgia State,L,58,68,85.3,100.0,67.7,.127,.317,.434,47.6,41.7,2.9,9.8,,.429,14.1,19.4,.063,,.491,10.2,85.2,.302

2023-01-05,,Arkansas State,W,63,45,98.4,70.3,63.9,.269,.365,.537,48.5,39.1,9.4,17.8,,.490,7.9,7.4,.231,,.302,14.6,76.9,.172

2023-01-07,,Texas State,L,58,64,92.1,101.6,63.4,.313,.333,.526,47.5,45.5,4.8,8.0,,.510,20.3,18.5,.188,,.448,9.6,70.6,.207

