Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,,Loyola (LA),W,90,72,126.8,101.4,71.4,.295,.262,.647,62.1,50.0,8.5,2.7,,.648,13.7,33.3,.180,,.508,9.3,87.1,.092

2022-11-11,@,Colorado State,L,69,80,104.5,121.2,66.3,.169,.458,.541,36.2,44.0,9.1,0.0,,.525,13.6,14.7,.119,,.612,13.9,66.7,.408

2022-11-13,@,Wyoming,W,76,72,102.7,97.3,73.6,.172,.397,.606,44.8,32.1,9.5,4.5,,.578,19.3,15.4,.155,,.414,14.7,63.4,.297

2022-11-18,N,Kennesaw State,L,68,72,95.8,101.4,70.7,.471,.294,.545,40.4,26.1,8.5,7.1,,.510,16.1,7.4,.314,,.554,17.9,70.0,.179

2022-11-19,N,Campbell,W,70,69,95.9,94.5,73.2,.371,.355,.480,46.4,43.5,15.1,10.3,,.403,9.9,25.0,.323,,.500,21.8,75.9,.278

2022-11-20,@,Appalachian State,L,74,83,96.1,107.8,77.0,.200,.440,.451,49.4,46.2,10.4,2.9,,.427,8.9,29.2,.133,,.551,16.5,78.8,.305

2022-11-26,,William Carey,W,96,62,124.7,80.5,76.5,.348,.470,.624,60.3,63.6,15.6,19.2,,.591,15.4,45.2,.273,,.509,26.2,75.0,.130

2022-11-30,@,Xavier,L,63,95,77.8,117.3,80.7,.397,.328,.457,33.3,57.1,13.6,0.0,,.422,19.8,12.8,.241,,.597,16.2,60.0,.224

2022-12-03,@,Dayton,L,74,80,110.4,119.4,67.4,.327,.473,.582,39.6,42.3,9.0,0.0,,.555,12.4,14.8,.236,,.663,18.0,71.4,.535

2022-12-07,,Belhaven (MS),W,107,71,132.1,87.7,80.6,.216,.419,.656,60.0,58.5,13.6,5.6,,.642,14.6,48.4,.162,,.500,23.2,70.6,.127

2022-12-15,@,Nicholls State,L,73,88,94.8,114.3,76.5,.473,.382,.542,45.8,36.0,9.1,9.4,,.500,17.2,19.4,.327,,.618,17.7,75.0,.364

2022-12-17,,Troy,L,71,77,101.4,110.0,69.5,.237,.339,.541,54.1,53.8,8.6,3.7,,.508,18.6,39.3,.186,,.500,11.2,66.7,.305

2022-12-21,,Southern,W,80,62,112.7,87.3,71.2,.230,.295,.591,58.9,66.7,8.5,10.0,,.566,17.1,33.3,.180,,.539,22.8,82.8,.137

2022-12-30,@,Vanderbilt,L,55,93,76.4,129.2,71.7,.231,.292,.381,40.5,40.9,4.2,0.0,,.346,11.1,21.4,.154,,.575,8.2,62.2,.123

2023-01-05,,Houston Christian,W,71,59,101.4,84.3,70.0,.386,.281,.526,61.3,54.2,11.4,0.0,,.474,20.1,44.1,.298,,.457,27.8,82.1,.370

2023-01-07,,Lamar,W (1 OT),89,84,115.6,109.1,68.8,.485,.426,.532,52.1,57.1,13.0,5.3,,.485,11.6,40.5,.338,,.613,22.0,69.0,.129

