Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,@,Creighton,L,60,72,90.9,109.1,65.8,.069,.379,.501,43.9,41.7,6.1,6.3,,.491,16.7,16.7,.052,,.455,5.2,66.7,.182

2022-11-11,,Chicago State,W,83,61,125.8,92.4,66.0,.490,.286,.687,54.8,45.2,9.1,0.0,,.694,17.7,33.3,.306,,.410,12.7,68.4,.180

2022-11-13,,St. Francis (NY),W,84,48,127.3,72.7,65.9,.254,.356,.635,47.7,54.5,10.6,6.8,,.636,8.3,21.4,.153,,.322,15.5,67.6,.169

2022-11-17,@,Montana,L,59,78,86.8,114.7,68.1,.540,.380,.470,40.3,41.2,4.4,6.5,,.390,16.0,14.3,.400,,.500,9.2,68.8,.368

2022-11-18,N,Troy,W,78,76,114.7,111.8,67.9,.306,.571,.695,40.7,57.7,5.9,9.1,,.653,18.8,4.5,.286,,.543,16.5,65.6,.224

2022-11-19,N,Merrimack,W,72,61,120.0,101.7,59.6,.060,.700,.700,69.4,61.5,1.7,4.2,,.690,24.8,42.1,.060,,.500,9.6,86.7,.196

2022-11-23,@,Milwaukee,W,76,72,104.1,98.6,72.7,.321,.453,.622,38.6,55.6,9.6,11.4,,.604,19.7,7.7,.226,,.549,20.7,64.5,.082

2022-11-26,@,Utah,L,66,95,98.5,141.8,66.6,.304,.411,.515,45.9,47.8,6.0,4.5,,.482,13.5,25.0,.214,,.683,9.2,69.0,.217

2022-11-29,,North Central (MN),W,111,63,152.1,86.3,73.4,.239,.296,.702,69.0,60.5,9.6,20.7,,.676,9.2,44.8,.211,,.547,24.1,93.1,.094

2022-12-03,,Crown (MN),W,91,56,126.4,77.8,72.5,.379,.500,.584,55.0,48.4,8.3,7.1,,.545,8.2,31.6,.288,,.371,14.6,76.2,.161

2022-12-08,@,Montana State,L,65,82,91.5,115.5,71.4,.500,.500,.453,39.7,31.3,15.5,0.0,,.353,10.0,20.0,.414,,.585,18.2,73.9,.377

2022-12-10,@,Idaho State,W,76,70,118.8,109.4,63.8,.380,.340,.644,41.8,56.0,10.9,3.6,,.580,15.7,16.0,.360,,.557,17.9,63.3,.208

2022-12-13,,Green Bay,W,82,61,124.2,92.4,66.1,.345,.431,.607,62.5,57.7,13.6,2.6,,.552,11.8,34.5,.310,,.550,19.2,92.6,.120

2022-12-19,,North Dakota,W,75,62,129.3,106.9,58.3,.245,.396,.634,35.4,50.0,10.3,3.0,,.613,7.8,20.8,.189,,.529,18.9,50.0,.135

2022-12-21,,North Dakota State,W,78,68,120.0,104.6,64.5,.407,.296,.605,50.0,25.0,12.3,3.8,,.556,8.5,20.0,.333,,.612,17.5,80.0,.163

2022-12-29,@,South Dakota,L,84,92,115.1,126.0,73.2,.313,.403,.546,43.1,33.3,6.8,6.1,,.515,6.1,22.9,.224,,.679,17.9,73.9,.377

