Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,,Lehigh,W,90,72,120.0,96.0,75.5,.564,.218,.645,60.7,43.3,10.7,16.7,,.600,15.7,30.4,.436,,.492,14.8,81.8,.159

2022-11-15,,Colgate,L,68,80,95.8,112.7,71.2,.238,.397,.485,47.0,37.5,11.3,28.6,,.444,15.6,27.8,.190,,.625,19.2,70.0,.083

2022-11-19,,Northeastern,W,76,48,107.0,67.6,70.7,.183,.233,.583,56.1,46.9,12.7,11.5,,.583,15.5,30.0,.100,,.397,20.9,77.8,.034

2022-11-21,N,Richmond,W (1 OT),74,71,112.1,107.6,58.9,.175,.286,.542,34.4,36.7,15.2,25.7,,.532,8.1,26.7,.111,,.508,16.6,41.9,.061

2022-11-23,N,St. John's (NY),L (1 OT),69,76,88.5,97.4,69.6,.269,.239,.457,45.3,50.0,6.4,20.5,,.410,13.7,26.3,.209,,.455,16.3,64.9,.224

2022-11-26,,Bryant,L,72,73,102.9,104.3,70.2,.400,.400,.504,58.3,54.2,10.0,6.3,,.450,15.4,40.6,.300,,.458,11.3,72.5,.300

2022-11-29,@,Illinois,L,44,73,63.8,105.8,69.3,.315,.315,.354,49.4,73.3,4.3,17.9,,.324,19.5,26.3,.167,,.440,8.3,69.8,.209

2022-12-03,@,Notre Dame,W,62,61,103.3,101.7,59.6,.069,.310,.518,45.0,50.0,11.7,0.0,,.509,6.3,17.9,.052,,.475,11.4,68.8,.067

2022-12-06,,Oakland,W,95,66,118.8,82.5,79.6,.097,.278,.631,54.3,64.3,12.5,10.3,,.639,14.7,25.0,.042,,.414,15.7,73.8,.203

2022-12-10,,Georgetown,W,83,64,118.6,91.4,70.3,.350,.233,.593,52.5,66.7,14.3,23.5,,.525,9.1,30.8,.333,,.424,18.4,69.7,.237

2022-12-12,,Monmouth,W,86,71,130.3,107.6,66.0,.509,.273,.630,54.5,50.0,13.6,14.7,,.582,12.8,42.3,.400,,.553,17.4,65.5,.140

2022-12-17,,Cornell,W,78,63,106.8,86.3,72.8,.276,.293,.595,49.3,48.3,12.3,28.6,,.560,16.5,25.9,.224,,.414,14.5,63.6,.000

2022-12-20,,Pitt,L,82,84,109.3,112.0,75.4,.362,.319,.507,44.4,53.3,12.0,32.1,,.478,10.0,31.0,.232,,.575,17.7,63.3,.250

2022-12-31,,Boston College,W,79,65,108.2,89.0,72.6,.242,.258,.571,52.2,58.6,12.3,18.2,,.532,15.8,31.3,.210,,.446,20.5,71.4,.268

2023-01-03,@,Louisville,W,70,69,97.2,95.8,71.8,.463,.296,.531,46.3,59.1,13.9,13.9,,.472,17.5,25.8,.352,,.516,20.1,63.9,.063

2023-01-07,@,Virginia,L,66,73,97.1,107.4,67.8,.278,.259,.540,54.8,62.5,13.2,25.9,,.519,20.7,27.6,.185,,.547,13.6,78.8,.283

