Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,@,Pitt,L,58,80,72.5,100.0,80.2,.387,.306,.395,43.0,35.0,10.0,6.7,,.347,18.8,23.8,.242,,.444,15.5,61.4,.239

2022-11-09,@,Youngstown State,L,72,90,94.7,118.4,75.7,.333,.250,.518,44.6,53.6,9.2,12.2,,.508,17.8,25.7,.183,,.507,9.9,61.5,.254

2022-11-12,,Champion Christian,W,124,65,140.9,73.9,88.5,.191,.303,.639,71.3,61.5,20.5,14.3,,.629,10.2,51.4,.135,,.455,24.8,88.4,.060

2022-11-15,,Harris-Stowe,W,96,53,128.0,70.7,74.9,.222,.514,.603,60.8,65.7,16.0,9.5,,.569,10.2,41.7,.194,,.392,21.4,78.9,.100

2022-11-18,@,Ole Miss,L,68,72,91.9,97.3,74.1,.259,.345,.522,44.6,46.2,16.2,5.7,,.509,22.6,30.0,.155,,.435,18.2,57.1,.463

2022-11-20,,Prairie View,W,80,79,108.1,106.8,74.4,.566,.358,.595,56.7,46.2,13.5,12.2,,.547,18.2,36.7,.415,,.516,15.4,76.7,.222

2022-11-22,@,Arkansas State,L,64,70,94.1,102.9,68.4,.228,.439,.507,42.0,54.5,10.3,8.3,,.482,13.7,13.9,.158,,.536,18.0,72.7,.179

2022-11-28,,McNeese State,W,86,83,121.1,116.9,70.8,.500,.500,.599,47.9,63.0,5.6,5.4,,.578,10.0,27.3,.328,,.595,10.6,65.0,.127

2022-12-03,@,UNC Asheville,L,83,90,113.7,123.3,73.3,.169,.354,.591,44.6,36.4,15.1,2.7,,.577,14.6,29.0,.123,,.627,19.4,64.0,.382

2022-12-11,,Chicago State,W (1 OT),75,74,101.4,100.0,65.4,.295,.393,.539,50.0,59.3,12.2,8.6,,.508,15.7,33.3,.213,,.531,18.7,67.7,.094

2022-12-13,,Bethel (TN),W,103,75,128.8,93.8,80.0,.329,.457,.636,55.9,57.1,11.3,8.2,,.621,11.0,32.4,.229,,.500,17.2,79.4,.172

2022-12-17,@,Bowling Green State,W,75,67,102.7,91.8,72.7,.265,.412,.490,52.6,46.2,11.0,16.1,,.449,9.5,31.7,.206,,.448,15.9,77.1,.259

2022-12-19,,Crowley's Ridge,W,120,59,142.9,70.2,84.1,.304,.481,.664,63.4,60.5,8.3,11.4,,.639,6.2,29.4,.241,,.346,12.5,87.5,.215

2022-12-29,@,Little Rock,L,74,88,92.5,110.0,79.9,.422,.484,.482,49.3,43.5,3.8,11.9,,.430,16.3,32.5,.297,,.543,15.5,71.0,.431

2022-12-31,,Morehead State,W,64,57,92.8,82.6,69.0,.322,.254,.470,51.4,25.0,7.2,8.8,,.424,10.5,19.4,.237,,.346,16.0,83.3,.404

2023-01-05,,Southeast Missouri State,W,87,82,111.5,105.1,78.1,.731,.288,.621,55.6,50.0,6.4,5.4,,.548,14.6,23.3,.577,,.480,7.8,78.6,.118

