Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,@,SMU,L,60,77,84.5,108.5,70.8,.242,.348,.408,44.4,34.8,5.6,2.5,,.386,8.7,25.6,.136,,.526,13.8,72.4,.276

2022-11-11,@,Northern Colorado,L,77,80,105.5,109.6,72.7,.322,.356,.566,49.0,39.3,9.6,15.0,,.534,16.0,21.4,.237,,.660,22.8,82.6,.383

2022-11-14,@,Air Force,W (1 OT),73,69,96.1,90.8,67.5,.361,.574,.511,51.4,64.0,9.2,16.1,,.492,18.3,26.3,.213,,.509,19.7,79.4,.283

2022-11-18,N,UNC Asheville,L,64,72,87.7,98.6,72.9,.179,.418,.440,48.7,44.0,9.6,20.6,,.425,11.0,20.0,.104,,.525,16.4,80.6,.169

2022-11-19,@,Georgia State,L,53,57,89.8,96.6,59.6,.077,.596,.492,48.1,52.4,10.2,5.6,,.490,18.2,27.6,.038,,.458,18.0,73.9,.271

2022-11-20,N,Eastern Kentucky,W,75,61,107.1,87.1,69.8,.015,.591,.564,50.0,67.7,10.0,3.1,,.568,13.1,21.2,.000,,.472,20.2,85.2,.208

2022-11-28,,Arlington Baptist,W,101,46,142.3,64.8,70.6,.118,.539,.629,65.7,77.5,18.3,27.3,,.618,11.1,54.5,.092,,.313,25.6,75.7,.333

2022-12-01,@,Hawaii,W,53,51,79.1,76.1,67.1,.250,.467,.395,58.0,47.4,9.0,9.1,,.350,15.2,31.6,.183,,.378,17.1,90.3,.286

2022-12-04,@,Denver,L,75,84,104.2,116.7,72.2,.103,.574,.526,39.3,48.4,8.3,5.4,,.529,13.4,29.4,.044,,.557,18.8,51.9,.472

2022-12-06,@,Wyoming,L,76,91,104.1,124.7,73.2,.397,.603,.551,46.3,62.5,6.8,14.8,,.509,14.8,23.5,.293,,.564,9.6,69.7,.527

2022-12-10,@,Abilene Christian,L,64,83,97.0,125.8,65.8,.300,.520,.560,50.0,56.5,6.1,5.0,,.530,24.0,37.5,.220,,.564,11.9,61.5,.382

2022-12-19,@,Purdue Fort Wayne,L,68,85,93.2,116.4,72.7,.240,.360,.610,46.3,35.7,6.8,5.4,,.610,24.4,10.5,.140,,.543,10.5,65.7,.129

2022-12-20,N,IUPUI,L,52,62,81.3,96.9,63.7,.231,.346,.451,53.6,30.0,7.8,5.7,,.404,17.2,20.7,.192,,.567,21.0,88.9,.244

2022-12-27,@,Texas,L,72,97,102.9,138.6,69.8,.383,.319,.648,39.2,44.0,10.0,2.6,,.606,21.3,9.1,.319,,.652,11.0,62.1,.167

2022-12-31,,Incarnate Word,W (1 OT),82,74,109.3,98.7,66.3,.482,.446,.596,56.7,55.6,8.0,6.8,,.554,17.9,28.6,.357,,.444,10.9,76.9,.306

2023-01-05,,Nicholls State,L,63,66,95.5,100.0,65.9,.275,.510,.546,50.9,69.6,10.6,10.8,,.539,20.6,21.4,.157,,.546,15.5,79.3,.130

