Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,@,Oklahoma State,L,66,77,83.5,97.5,78.9,.424,.288,.466,47.8,33.3,13.9,2.9,,.390,18.4,25.7,.339,,.483,18.9,70.6,.317

2022-11-12,,Southwestern (TX),W,103,61,125.6,74.4,81.7,.727,.409,.580,63.8,61.3,23.2,21.4,,.553,12.8,52.4,.455,,.480,32.8,81.5,.260

2022-11-15,,Hardin-Simmons,W,100,59,122.0,72.0,82.2,.205,.277,.549,70.9,43.9,7.3,5.3,,.536,9.9,48.7,.133,,.438,19.9,92.5,.031

2022-11-18,,Nevada,L,43,62,61.4,88.6,69.9,.536,.446,.306,47.6,40.0,11.4,3.0,,.205,16.6,29.4,.357,,.471,19.4,77.4,.250

2022-11-21,N,Drexel,L,38,59,63.3,98.3,60.0,.186,.305,.296,49.3,40.0,5.0,15.4,,.288,12.3,32.6,.068,,.509,18.9,73.3,.094

2022-11-22,N,Northern Kentucky,W,60,56,98.4,91.8,61.4,.348,.348,.560,56.3,57.1,6.6,10.5,,.543,23.0,36.0,.217,,.404,13.5,69.2,.175

2022-11-23,N,East Carolina,L,65,79,97.0,117.9,67.3,.288,.322,.485,44.4,41.7,7.5,3.3,,.449,13.0,24.2,.203,,.535,10.6,66.7,.316

2022-11-28,,Howard Payne,W,99,41,123.8,51.3,80.5,.244,.321,.569,69.5,70.0,8.8,20.9,,.564,12.1,48.7,.141,,.300,22.1,88.4,.031

2022-12-02,@,LSU,L,59,63,90.8,96.9,65.4,.172,.297,.426,50.0,33.3,9.2,12.1,,.414,10.4,31.7,.094,,.480,16.4,75.9,.275

2022-12-06,,North Texas,L,57,60,100.0,105.3,56.5,.435,.261,.514,49.2,47.4,8.8,18.8,,.467,20.1,48.3,.304,,.429,13.4,50.0,.214

2022-12-10,N,Texas State,L,65,71,98.5,107.6,66.1,.294,.255,.559,51.9,40.0,10.6,2.8,,.529,20.5,30.4,.216,,.509,13.4,69.0,.321

2022-12-19,@,San Francisco,W,68,63,95.8,88.7,70.6,.316,.246,.519,61.9,46.2,14.1,8.3,,.491,20.6,38.7,.211,,.500,19.8,84.4,.145

2022-12-21,@,California,L,51,73,82.3,117.7,62.2,.360,.500,.436,47.3,75.0,6.5,5.1,,.370,15.8,26.5,.280,,.598,14.7,81.0,.391

2022-12-29,@,Tarleton State,L,63,70,92.6,102.9,68.3,.500,.462,.490,52.7,55.6,5.9,11.8,,.404,19.9,32.1,.404,,.553,16.6,74.1,.383

2022-12-31,,Stephen F. Austin,L,62,66,100.0,106.5,62.1,.333,.298,.470,55.1,52.2,4.8,20.0,,.421,13.2,40.5,.246,,.473,11.2,71.9,.232

2023-01-05,,Utah Valley,L,64,72,91.4,102.9,70.2,.269,.239,.424,50.6,36.0,8.6,4.8,,.418,11.7,35.4,.119,,.509,17.7,75.9,.340

