Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,,Trinity (TX),W,74,47,98.7,62.7,74.6,.171,.395,.450,60.0,54.8,9.3,22.0,,.441,13.7,44.4,.092,,.322,18.1,77.5,.153

2022-11-11,@,Texas A&M-Corpus Christi,L,55,75,76.4,104.2,72.0,.451,.569,.444,42.4,76.5,12.5,8.1,,.402,23.5,22.2,.275,,.545,18.5,66.7,.250

2022-11-14,,St. Mary's (TX),W,66,59,91.7,81.9,72.1,.218,.345,.544,49.2,36.0,6.9,18.4,,.527,21.9,27.6,.145,,.404,19.0,68.8,.228

2022-11-17,,Texas State,W,61,56,93.8,86.2,64.2,.306,.429,.543,53.5,38.1,3.1,2.7,,.510,23.2,28.6,.224,,.398,12.7,69.8,.078

2022-11-22,,Prairie View,W,82,75,110.8,101.4,74.3,.674,.522,.675,48.1,54.2,1.4,6.4,,.641,18.7,13.0,.500,,.438,9.4,74.2,.297

2022-11-25,,Grambling,L,55,75,77.5,105.6,71.2,.574,.481,.400,52.6,43.8,4.2,9.1,,.343,17.9,35.7,.333,,.493,11.9,72.2,.118

2022-11-27,,Dartmouth,L (1 OT),77,78,102.7,104.0,66.7,.258,.348,.520,50.7,42.9,1.3,2.8,,.485,9.7,18.9,.197,,.508,11.4,87.5,.242

2022-11-28,,Incarnate Word,W,68,62,104.6,95.4,64.8,.175,.491,.551,55.7,56.0,3.1,13.0,,.526,13.9,34.5,.140,,.414,9.2,75.0,.141

2022-12-10,@,New Mexico,L,76,94,100.0,123.7,75.9,.377,.377,.528,44.6,70.8,6.6,2.8,,.475,16.3,23.7,.295,,.558,9.8,74.1,.692

2022-12-13,@,Utah,L,70,91,89.7,116.7,78.0,.383,.300,.493,29.4,39.1,7.7,2.0,,.442,11.3,7.5,.283,,.558,14.4,60.7,.203

2022-12-18,,Bethune-Cookman,W,90,69,125.0,95.8,72.2,.483,.397,.631,57.8,59.3,6.9,2.6,,.560,15.4,34.5,.431,,.500,15.4,77.1,.150

2022-12-22,,North Texas,L,54,78,84.4,121.9,64.4,.327,.327,.449,42.2,47.1,4.7,0.0,,.375,17.8,23.5,.288,,.558,10.7,63.3,.183

2022-12-29,@,Louisiana Tech,L,69,91,97.2,128.2,71.5,.489,.468,.596,38.9,81.0,7.0,2.5,,.574,21.6,12.0,.319,,.600,9.6,62.1,.200

2022-12-31,@,UAB,L,67,90,94.4,126.8,70.7,.367,.433,.476,37.5,45.0,2.8,5.0,,.408,13.5,25.7,.300,,.582,12.1,51.7,.311

2023-01-05,,Middle Tennessee,W,75,72,111.9,107.5,67.2,.491,.291,.553,48.0,32.0,9.0,5.7,,.500,9.4,25.0,.364,,.606,19.0,69.2,.173

2023-01-07,,Western Kentucky,L,64,74,92.8,107.2,68.7,.490,.490,.509,44.8,47.1,1.4,7.5,,.431,19.3,24.2,.392,,.468,10.1,64.7,.238

