Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,@,San Francisco,L,77,90,92.8,108.4,83.3,.478,.224,.468,28.1,15.4,9.6,0.0,,.433,10.8,11.4,.284,,.716,26.6,65.0,.333

2022-11-10,@,Texas Tech,L,54,78,71.1,102.6,76.3,.250,.300,.402,53.6,33.3,6.6,9.1,,.383,22.1,29.7,.133,,.500,14.4,81.3,.279

2022-11-13,,Arizona State,W (1 OT),67,66,84.8,83.5,69.8,.279,.250,.435,51.8,37.0,7.6,6.8,,.441,18.1,32.6,.103,,.381,14.8,74.4,.224

2022-11-15,,Oral Roberts,L,64,82,88.9,113.9,71.7,.162,.338,.402,46.3,50.0,4.2,13.0,,.378,8.1,31.8,.108,,.521,9.4,63.2,.097

2022-11-16,@,Houston,L,48,83,72.7,125.8,65.8,.306,.327,.428,43.3,33.3,7.6,2.4,,.398,23.2,25.8,.184,,.558,10.3,62.1,.267

2022-11-18,@,Auburn,L,56,72,73.7,94.7,76.1,.262,.180,.408,49.2,36.4,18.4,10.3,,.369,21.7,36.1,.180,,.509,23.4,68.0,.268

2022-11-20,@,Samford,L,63,78,91.3,113.0,68.7,.283,.302,.524,46.4,47.8,8.7,6.3,,.509,20.0,23.3,.170,,.590,15.7,73.1,.098

2022-11-28,@,Kansas,L,55,87,82.1,129.9,67.1,.170,.321,.480,42.6,30.4,4.5,3.8,,.472,21.8,22.2,.094,,.664,14.3,63.0,.255

2022-12-11,,North American,W,95,47,115.9,57.3,81.5,.108,.229,.544,69.6,63.6,15.9,28.6,,.542,13.0,56.4,.060,,.313,22.9,82.5,.075

2022-12-17,N,North Carolina A&T,L (1 OT),66,67,88.0,89.3,66.7,.266,.344,.458,39.7,66.7,4.0,8.3,,.430,8.9,9.5,.172,,.452,16.7,75.0,.177

2022-12-18,N,Hampton,W,82,77,113.9,106.9,71.5,.262,.262,.561,51.7,56.3,6.9,8.1,,.538,6.4,30.0,.185,,.517,15.9,73.3,.271

2022-12-22,@,Wichita State,L,56,65,80.0,92.9,69.6,.206,.250,.375,48.8,31.8,11.4,4.8,,.353,10.8,30.6,.118,,.464,17.8,75.8,.232

2022-12-29,,Huston-Tillotson,W,92,54,127.8,75.0,71.9,.493,.343,.556,74.3,54.8,11.1,18.8,,.507,14.5,66.7,.358,,.397,17.9,81.6,.138

2023-01-02,,Southern,L (1 OT),76,77,93.8,95.1,72.0,.569,.310,.516,50.7,46.4,7.4,19.6,,.509,16.9,22.2,.293,,.438,13.3,76.9,.308

2023-01-04,,Grambling,L,72,85,97.3,114.9,74.0,.547,.283,.539,39.2,41.7,10.8,2.9,,.519,15.2,18.2,.321,,.667,20.4,77.8,.333

2023-01-07,@,Arkansas-Pine Bluff,L,66,70,77.6,82.4,84.5,.448,.276,.469,58.9,69.6,5.9,4.9,,.405,23.8,25.0,.328,,.395,14.3,85.4,.339

