Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,,Utah Valley,W,75,58,102.7,79.5,72.6,.250,.297,.524,59.7,58.6,1.4,11.9,,.516,11.2,27.8,.141,,.352,11.3,87.8,.246

2022-11-11,,Bradley,W,84,62,115.1,84.9,72.6,.482,.429,.610,61.1,64.0,6.8,17.1,,.545,17.9,34.4,.411,,.414,13.8,82.5,.241

2022-11-14,,Santa Clara,W,96,74,120.0,92.5,80.3,.229,.443,.619,58.8,69.4,15.0,9.3,,.600,10.4,26.7,.171,,.454,14.8,84.2,.231

2022-11-17,@,San Diego,W (1 OT),91,89,113.8,111.3,71.3,.433,.483,.629,50.7,67.7,2.5,12.8,,.633,19.0,28.6,.250,,.500,10.6,65.1,.187

2022-11-22,,Oral Roberts,W,95,85,118.8,106.3,79.8,.411,.554,.710,55.6,86.2,6.3,8.6,,.688,21.2,17.9,.321,,.569,16.5,85.7,.169

2022-12-01,,Utah Tech,W,86,81,119.4,112.5,72.0,.291,.564,.687,49.1,80.0,8.3,6.9,,.664,16.1,12.0,.236,,.596,19.1,80.0,.365

2022-12-04,N,San Francisco,W,82,64,112.3,87.7,73.3,.290,.306,.581,50.9,35.5,9.6,2.9,,.540,10.2,22.2,.242,,.500,22.5,78.6,.164

2022-12-11,N,Loyola Marymount,W,79,67,109.7,93.1,71.6,.574,.241,.575,55.4,64.0,5.6,10.0,,.500,9.2,22.6,.463,,.430,13.9,85.3,.316

2022-12-15,,Westminster (UT),W,106,68,143.2,91.9,74.2,.188,.578,.760,52.0,64.1,9.5,7.3,,.773,14.7,20.8,.109,,.510,22.2,80.8,.288

2022-12-19,,Weber State,L,72,75,101.4,105.6,70.7,.580,.460,.564,47.6,66.7,4.2,8.1,,.500,13.6,9.7,.440,,.579,14.6,84.4,.158

2022-12-22,N,Seattle,W,84,56,113.5,75.7,73.6,.288,.475,.626,53.5,56.7,8.1,17.5,,.602,14.1,25.0,.220,,.326,11.4,72.1,.159

2022-12-23,N,SMU,L,74,77,105.7,110.0,70.3,.281,.563,.510,58.7,62.5,1.4,6.3,,.453,14.2,37.1,.250,,.517,6.8,85.7,.250

2022-12-25,N,Washington State,W,82,73,118.8,105.8,69.2,.283,.321,.682,48.0,65.6,7.2,8.1,,.708,15.5,20.8,.132,,.463,16.4,73.1,.426

2022-12-31,,Fresno State,W,67,54,101.5,81.8,65.5,.587,.413,.569,59.3,55.0,7.6,6.5,,.511,19.2,28.0,.435,,.412,17.3,86.2,.235

2023-01-03,@,Air Force,W,77,65,114.9,97.0,66.6,.551,.245,.623,61.4,40.0,6.0,5.9,,.571,15.1,33.3,.429,,.508,14.8,81.8,.067

2023-01-07,@,Boise State,L,59,82,84.3,117.1,70.4,.241,.362,.456,41.2,43.5,7.1,14.0,,.457,13.4,13.5,.103,,.589,13.9,74.2,.145

