Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,@,Utah State,L,58,75,79.5,102.7,72.6,.328,.311,.411,40.3,40.0,8.2,6.7,,.352,11.3,12.2,.246,,.516,11.2,72.2,.141

2022-11-09,,Western Colorado,W,91,64,126.4,88.9,71.7,.274,.306,.649,54.0,71.4,11.1,12.8,,.613,10.2,23.1,.242,,.484,18.7,75.7,.048

2022-11-12,,Northern Arizona,W,73,69,110.6,104.5,65.6,.385,.442,.593,46.5,80.0,9.1,23.1,,.577,15.2,25.0,.250,,.455,11.1,64.1,.119

2022-11-15,@,Wake Forest,L (1 OT),65,68,85.5,89.5,67.4,.160,.413,.403,55.6,36.0,7.9,14.3,,.360,11.0,34.0,.147,,.385,12.8,79.1,.277

2022-11-18,N,Morgan State,L (1 OT),72,73,93.5,94.8,68.3,.603,.414,.482,49.2,55.0,11.7,21.4,,.379,20.3,35.3,.483,,.516,15.8,65.5,.164

2022-11-20,N,Green Bay,W,79,56,114.5,81.2,69.1,.389,.389,.617,61.5,55.6,13.0,10.8,,.574,13.5,25.9,.315,,.447,18.4,86.8,.088

2022-11-26,@,Boise State,L,69,87,98.6,124.3,70.1,.357,.304,.527,42.6,29.2,7.1,2.6,,.482,13.2,18.8,.268,,.577,8.8,69.0,.185

2022-12-03,,Long Beach State,W,88,78,111.4,98.7,78.1,.328,.469,.595,50.6,77.4,11.4,25.0,,.570,14.9,33.3,.234,,.451,15.6,65.9,.181

2022-12-07,@,BYU,W,75,60,108.7,87.0,68.7,.522,.522,.653,50.9,50.0,11.6,0.0,,.641,22.8,28.0,.348,,.393,16.3,68.8,.286

2022-12-10,@,Northern Arizona,W (1 OT),80,75,98.8,92.6,71.7,.571,.304,.562,57.1,72.0,4.9,17.4,,.500,19.3,16.0,.429,,.479,8.4,84.2,.114

2022-12-13,,SAGU Amer. Indian Coll.,W,100,54,,,,.394,.437,.593,,71.4,,,,.556,10.6,,.296,,,,,

2022-12-16,,Antelope Valley,W,80,54,98.8,66.7,81.0,.353,.324,.504,60.5,67.9,14.8,14.3,,.471,15.0,34.1,.235,,.417,22.8,87.5,.067

2022-12-20,@,Oregon,W,77,72,104.1,97.3,74.4,.344,.313,.517,37.3,51.9,6.8,10.2,,.484,9.7,14.3,.234,,.375,12.9,54.2,.309

2022-12-29,,Sam Houston,W,80,64,111.1,88.9,72.1,.254,.542,.605,54.1,80.0,5.6,25.0,,.602,18.5,34.4,.153,,.381,13.8,69.0,.194

2022-12-31,,Utah Tech,W,71,60,94.7,80.0,75.5,.286,.411,.558,49.3,65.4,14.7,20.5,,.536,21.1,19.4,.196,,.387,22.3,75.0,.358

2023-01-05,@,UT Arlington,W,72,64,102.9,91.4,70.2,.472,.208,.555,49.4,40.0,4.3,13.7,,.509,17.7,24.1,.340,,.418,11.7,64.6,.119

