Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,@,Richmond,L,48,69,72.7,104.5,66.2,.219,.516,.340,46.3,37.5,3.0,4.3,,.305,13.5,30.6,.141,,.520,13.4,71.0,.314

2022-11-10,,Penn State New Kensington,W,100,58,126.6,73.4,78.7,.224,.526,.595,62.3,48.6,13.9,0.0,,.566,12.5,44.1,.184,,.448,26.4,80.0,.103

2022-11-13,@,Davidson,L,71,75,102.9,108.7,69.1,.358,.321,.572,55.2,30.8,10.1,10.7,,.538,15.1,16.7,.264,,.525,10.7,82.4,.220

2022-11-18,@,Longwood,L,58,90,84.1,130.4,68.8,.185,.481,.494,47.4,73.7,8.7,0.0,,.454,24.4,31.0,.167,,.648,12.7,64.3,.109

2022-11-19,N,SIU-Edwardsville,L,67,93,90.5,125.7,74.2,.175,.474,.543,53.8,48.0,2.7,6.5,,.518,26.3,30.3,.140,,.627,12.3,78.1,.222

2022-11-20,N,Fairleigh Dickinson,L,89,93,121.9,127.4,73.3,.169,.423,.580,58.1,51.5,2.7,2.9,,.556,15.4,45.9,.141,,.545,7.2,70.3,.318

2022-11-26,,Regent,W,108,58,156.5,84.1,69.3,.321,.589,.837,56.7,56.8,10.1,0.0,,.830,14.6,42.1,.268,,.405,18.6,63.4,.111

2022-11-29,@,Presbyterian,L,57,72,82.6,104.3,69.3,.217,.367,.431,41.2,45.0,5.8,11.4,,.408,14.3,20.6,.133,,.500,16.0,61.8,.241

2022-12-03,,Navy,W,80,72,121.2,109.1,66.0,.237,.424,.609,45.6,46.4,10.6,3.0,,.593,8.4,20.7,.169,,.549,14.8,71.4,.082

2022-12-07,,Carlow,W,106,67,135.9,85.9,77.5,.148,.654,.611,69.7,63.2,10.3,8.0,,.593,10.3,48.8,.123,,.516,18.7,94.3,.048

2022-12-10,,Radford,W,77,74,113.2,108.8,68.4,.362,.426,.699,57.7,48.1,8.8,5.4,,.691,22.5,20.0,.255,,.583,15.8,81.3,.067

2022-12-13,@,American,L,61,69,100.0,113.1,60.7,.222,.315,.511,54.7,20.8,8.2,0.0,,.481,13.1,28.6,.167,,.638,15.5,84.0,.191

2022-12-22,@,Fordham,L (1 OT),77,80,91.7,95.2,74.8,.156,.406,.560,47.4,31.0,11.9,3.3,,.547,21.7,11.8,.109,,.428,16.8,75.0,.304

2022-12-29,@,Furman,L,62,85,87.3,119.7,71.4,.180,.279,.468,45.6,56.5,8.5,8.3,,.418,12.0,17.1,.180,,.594,12.3,75.8,.141

2022-12-31,,ETSU,L,50,64,78.1,100.0,64.4,.133,.517,.392,42.9,45.0,6.3,2.6,,.383,12.4,19.4,.067,,.500,13.5,67.6,.185

2023-01-04,@,Samford,L,78,87,116.4,129.9,67.1,.263,.509,.608,41.8,55.6,14.9,4.0,,.579,14.6,29.0,.211,,.655,17.9,58.3,.273

