Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,@,Temple,W (1 OT),76,73,102.7,98.6,65.6,.344,.391,.510,53.0,37.0,8.1,5.9,,.477,9.7,28.6,.234,,.435,16.0,80.6,.481

2022-11-12,@,La Salle,L,69,77,90.8,101.3,76.8,.354,.400,.454,52.4,66.7,7.9,6.5,,.431,14.6,31.6,.200,,.511,18.8,84.0,.652

2022-11-14,,Neumann,W,82,52,112.3,71.2,73.0,.135,.432,.521,69.3,41.9,11.0,13.5,,.500,15.1,54.1,.108,,.316,20.2,84.2,.429

2022-11-18,,Fairfield,W,68,52,107.9,82.5,62.5,.340,.362,.623,57.9,58.3,9.5,4.2,,.596,18.0,21.7,.255,,.367,14.4,82.4,.327

2022-11-20,@,Seton Hall,L,44,82,65.7,122.4,67.4,.136,.339,.350,37.5,33.3,10.4,6.5,,.347,17.2,20.5,.051,,.620,15.8,64.0,.278

2022-11-27,@,NJIT,W,62,57,96.9,89.1,63.8,.190,.349,.451,51.5,37.5,6.3,6.3,,.444,9.2,32.4,.095,,.480,16.9,75.9,.204

2022-12-03,@,Army,L,64,75,94.1,110.3,67.8,.177,.532,.476,46.9,58.3,10.3,4.0,,.476,16.2,29.4,.081,,.531,17.3,66.7,.469

2022-12-06,@,Fordham,L,59,72,86.8,105.9,68.0,.281,.281,.457,45.8,60.9,5.9,7.1,,.447,11.0,14.7,.140,,.520,14.0,88.0,.400

2022-12-15,,Stony Brook,W,58,55,103.6,98.2,56.3,.158,.474,.473,42.4,55.0,19.6,0.0,,.430,6.1,22.9,.158,,.419,17.7,70.8,.649

2022-12-20,@,Delaware State,W,58,51,93.5,82.3,62.4,.333,.386,.439,55.7,36.8,19.4,2.9,,.395,17.5,43.6,.228,,.479,24.0,77.3,.128

2022-12-22,,Gwynedd-Mercy,W,89,55,143.5,88.7,61.9,.290,.387,.631,63.2,76.5,17.7,3.2,,.629,5.4,38.7,.177,,.532,19.0,92.3,.106

2022-12-29,@,LIU,W,69,61,101.5,89.7,67.9,.313,.359,.469,59.4,72.0,8.8,6.3,,.453,16.0,42.5,.172,,.544,17.1,82.8,.267

2022-12-31,,Merrimack,L,48,58,76.2,92.1,63.3,.271,.339,.360,52.6,52.9,14.3,16.7,,.297,17.4,36.8,.220,,.519,27.0,84.2,1.192

2023-01-05,@,Stonehill,L,58,62,86.6,92.5,67.0,.237,.424,.442,51.6,55.0,10.4,6.7,,.390,17.6,30.6,.203,,.464,21.2,78.6,.548

2023-01-07,,Saint Francis (PA),L,63,68,92.6,100.0,67.9,.161,.371,.472,56.1,54.2,10.3,0.0,,.452,17.3,35.5,.113,,.530,15.5,80.8,.300

2023-01-16,@,Merrimack,W,62,57,105.1,96.6,58.6,.229,.313,.582,50.0,52.2,15.3,6.7,,.552,17.1,20.0,.188,,.534,18.5,75.9,.227

2023-01-20,,Central Connecticut,W,72,50,112.5,78.1,63.6,.190,.206,.524,50.8,56.7,9.4,10.0,,.500,8.0,32.3,.143,,.359,20.7,68.8,.370

2023-01-22,,Sacred Heart,W,68,58,107.9,92.1,62.6,.277,.383,.639,60.8,50.0,11.1,5.9,,.617,23.1,38.1,.213,,.449,16.9,76.7,.286

2023-01-26,,St. Francis (NY),L,56,65,91.8,106.6,60.5,.275,.235,.486,51.8,42.9,8.2,3.8,,.451,16.0,27.6,.196,,.533,15.1,77.8,.378

2023-02-02,@,Sacred Heart,L,56,65,86.2,100.0,64.7,.136,.373,.446,60.0,40.9,9.2,2.8,,.415,19.3,45.2,.119,,.500,13.8,75.9,.204





2023-02-04,@,Fairleigh Dickinson,W,83,79,127.7,121.5,64.9,.321,.340,.679,63.6,73.3,1.5,0.0,,.651,15.3,28.6,.264,,.670,12.4,95.7,.240

2023-02-09,@,St. Francis (NY),L (1 OT),62,64,93.9,97.0,58.9,.356,.203,.449,42.6,57.1,13.6,9.8,,.390,11.5,32.4,.271,,.433,17.2,52.9,.200

2023-02-11,,LIU,W,58,46,92.1,73.0,62.8,.066,.311,.461,56.7,54.2,11.1,11.8,,.451,13.7,29.4,.049,,.411,20.1,92.3,.200

2023-02-16,@,Central Connecticut,L,57,58,90.5,92.1,63.1,.230,.344,.421,51.6,43.5,9.5,6.1,,.410,11.7,37.1,.115,,.436,18.3,69.0,.362

2023-02-18,,Fairleigh Dickinson,L,48,66,71.6,98.5,67.3,.327,.347,.424,44.4,52.9,6.0,5.7,,.378,23.1,22.6,.224,,.510,20.2,73.9,.275

2023-02-23,,Stonehill,W,54,44,96.4,78.6,56.4,.304,.587,.513,65.3,52.9,12.5,9.1,,.457,22.2,42.3,.261,,.487,24.0,91.3,.154

2023-02-25,@,Saint Francis (PA),W,68,58,115.3,98.3,58.9,.203,.322,.526,63.2,30.8,8.5,3.4,,.500,7.2,39.3,.153,,.489,12.8,86.2,.283

2023-03-01,@,Sacred Heart,L,55,67,85.9,104.7,64.3,.383,.250,.388,58.8,23.8,9.4,0.0,,.358,14.5,46.3,.200,,.519,14.2,77.8,.204

