Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,,Morgan State,W,96,73,115.7,88.0,82.8,.581,.226,.607,62.3,75.0,18.1,18.9,,.556,20.2,60.7,.435,,.407,18.3,63.4,.229

2022-11-11,,Montana,W,86,64,132.3,98.5,65.1,.380,.280,.729,47.6,71.9,16.9,6.1,,.720,13.2,12.5,.280,,.529,19.4,69.2,.173

2022-11-15,,Fairfield,W,78,65,105.4,87.8,74.3,.351,.281,.586,58.1,76.7,8.1,21.6,,.588,20.4,33.3,.193,,.418,14.8,81.3,.230

2022-11-18,,Indiana,L,79,81,108.2,111.0,73.4,.344,.266,.531,43.8,64.3,11.0,10.9,,.492,13.9,28.6,.250,,.552,13.5,62.1,.293

2022-11-24,N,Florida,W,90,83,113.9,105.1,79.2,.339,.339,.657,51.4,57.6,7.6,7.7,,.644,18.0,21.4,.237,,.500,11.7,70.5,.051

2022-11-25,N,Duke,L,64,71,95.5,106.0,67.0,.365,.327,.524,50.0,45.0,7.5,0.0,,.452,19.7,27.6,.327,,.546,14.9,72.4,.222

2022-11-27,N,Gonzaga,L,84,88,112.0,117.3,75.4,.118,.221,.585,46.2,51.4,6.7,7.9,,.574,11.1,18.2,.088,,.605,15.5,75.0,.210

2022-11-30,,Southeastern Louisiana,W,95,63,117.3,77.8,80.7,.328,.388,.613,66.7,75.0,8.6,20.5,,.597,16.2,40.0,.224,,.422,19.8,87.2,.241

2022-12-03,,West Virginia,W,84,74,115.1,101.4,73.2,.577,.231,.634,57.9,71.4,4.1,7.5,,.587,18.5,28.6,.442,,.534,14.3,86.2,.186

2022-12-10,@,Cincinnati,W,80,77,105.3,101.3,76.3,.339,.371,.556,52.2,64.3,11.8,0.0,,.516,14.3,22.9,.258,,.517,17.2,84.4,.271

2022-12-13,,Southern,W,79,59,98.8,73.8,79.7,.300,.450,.576,58.5,93.1,8.8,21.9,,.558,20.8,22.6,.200,,.431,24.2,91.2,.155

2022-12-16,@,Georgetown,W,102,89,132.5,115.6,77.0,.176,.382,.692,57.8,65.9,7.8,6.7,,.706,10.9,24.1,.088,,.565,7.2,85.7,.306

2022-12-20,,Seton Hall,W,73,70,101.4,97.2,72.2,.379,.345,.533,55.1,88.5,5.6,15.0,,.491,16.0,31.3,.276,,.491,17.1,75.7,.246

2022-12-28,@,St. John's (NY),W,84,79,105.0,98.8,79.6,.286,.214,.528,57.3,59.4,12.5,5.6,,.500,15.9,39.5,.200,,.486,13.1,72.7,.125

2022-12-31,,UConn,W,83,73,110.7,97.3,74.8,.538,.250,.636,45.5,71.4,14.7,6.7,,.577,15.5,13.8,.442,,.515,18.3,70.3,.060

2023-01-07,@,Villanova,W,88,80,114.3,103.9,77.2,.368,.333,.657,58.3,71.0,6.5,4.8,,.623,17.3,19.0,.298,,.493,9.4,79.5,.095

